"Comune","Concentrazione ioni idrogeno (pH) (limite: 6,5-9,5)","Residuo fisso (da calcolo)","Durezza totale","Conducibilità elettrica a 20°C (limite: 2500)","Calcio","Magnesio","Ammonio (limite: 0,5)","Cloruro (limite: 250)","Solfato (limite: 250)","Potassio","Sodio (limite: 200)","Arsenico (limite: 10)","Bicarbonato","Cloro residuo libero","Fluoruri (limite: 1,5)","Nitrato (limite: 50)","Nitrito (limite: 0,5)","Manganese (limite: 50)"
adrara san martino,"7,8",285,24,401,86,4,"< 0,1",6,15,"1,4","4,4",< 1,272,"0,20","0,11",13,"< 0,05",5
adrara san rocco,"8,1",270,23,395,83,4,"< 0,1",3,7,"< 0,5","1,8",< 1,275,"0,18","0,10",16,"< 0,05",< 5
albano santalessandro,"7,8",220,19,317,47,17,"< 0,1",< 2,25,"< 0,5","1,1",< 1,195,"< 0,10","< 0,05",4,"< 0,05",< 5
albino,"7,9",234,18,315,55,9,"< 0,1",5,15,"< 0,5","6,9",< 1,206,"< 0,10","0,10",10,"< 0,05",< 5
algua,"7,7",254,22,344,50,22,"< 0,1",2,30,"< 0,5","1,3",< 1,248,"0,24","0,05",6,"< 0,05",< 5
alm,"7,9",251,23,349,53,22,"< 0,1",2,30,"< 0,5","1,4",< 1,232,"0,21","< 0,05",6,"< 0,05",< 5
almenno san bartolomeo,"8,0",171,14,238,49,6,"< 0,1",< 2,5,"0,5","1,0",< 1,168,"< 0,10","0,07",7,"< 0,05",< 5
almenno san salvatore,"8,0",244,21,348,51,20,"< 0,1",2,28,"0,9","2,2",< 1,201,"< 0,10","0,11",6,"< 0,05",< 5
alzano lombardo,"7,8",288,24,412,55,26,"< 0,1",< 2,32,"< 0,5","1,0",< 1,266,"0,13","0,05",5,"< 0,05",< 5
ambivere,"7,8",176,14,241,43,10,"< 0,1",3,14,"0,6","1,3",< 1,193,"< 0,10","< 0,05",5,"< 0,05",< 5
antegnate,"7,5",441,35,616,106,20,"< 0,1",23,28,"0,9","5,1",< 1,337,"< 0,10","0,06",41,"< 0,05",< 5
arcene,"8,1",190,15,279,43,11,"< 0,1",4,15,"< 0,5","2,1",< 1,172,"< 0,10","0,07",5,"< 0,05",< 5
ardesio,"8,2",145,12,204,29,10,"< 0,1",< 2,12,"< 0,5","0,9",< 1,126,"< 0,10","< 0,05",5,"< 0,05",< 5
aviatico,"8,2",242,19,336,61,10,"< 0,1",5,26,"0,9","3,3",< 1,202,"< 0,10","0,09",5,"< 0,05",9
azzano san paolo,"7,9",170,14,241,40,9,"< 0,1",2,12,"< 0,5","1,1",< 1,150,"0,10","< 0,05",4,"< 0,05",< 5
azzone,"8,0",151,13,208,45,4,"< 0,1",< 2,6,"< 0,5","1,1",n.d.,n.d.,"< 0,10","< 0,05",5,"< 0,05",n.d.
bagnatica,"8,1",235,20,331,52,17,"< 0,1",5,23,"0,7","2,3",< 1,198,"< 0,10","0,05",5,"< 0,05",< 5
barbata,"7,4",431,34,614,90,20,"< 0,1",22,28,"0,9","4,5",< 1,332,"0,11","< 0,05",37,"< 0,05",< 5
barzana,"7,7",305,25,459,73,17,"< 0,1",6,22,"1,3","4,5",< 1,283,"< 0,10","0,08",18,"< 0,05",< 5
bedulita,"8,0",173,15,246,48,6,"< 0,1",< 2,4,"0,5","1,0",< 1,159,"< 0,10","0,07",7,"< 0,05",< 5
berbenno,"8,0",173,16,244,49,9,"< 0,1",< 2,4,"0,7","1,2",< 1,165,"0,13","0,06",6,"< 0,05",< 5
bergamo,"7,9",225,18,325,52,13,"< 0,1",5,18,"1,1","2,6",< 1,195,"< 0,10","0,06",5,"< 0,05",< 5
berzo san fermo,"7,9",268,23,373,55,23,"< 0,1",2,8,"0,6","1,2",< 1,315,"< 0,10","0,17",7,"< 0,05",< 5
bianzano,"7,8",312,26,444,93,7,"< 0,1",2,10,"< 0,5","1,3",< 1,319,"< 0,10","0,54",6,"< 0,05",< 5
blello,"7,9",292,24,430,87,6,"< 0,1",4,30,"0,6","3,1",< 1,289,"0,10","0,06",4,"< 0,05",< 5
bolgare,"7,3",411,33,572,112,13,"< 0,1",17,19,"1,2","9,2",< 1,389,"< 0,10","0,12",30,"< 0,05",< 5
boltiere,"7,9",190,15,288,43,11,"< 0,1",4,16,"< 0,5","2,1",< 1,198,"0,11","< 0,05",6,"< 0,05",< 5
bonate sopra,"7,5",305,24,436,71,15,"< 0,1",9,24,"1,1","6,1",< 1,267,"< 0,10","0,09",17,"< 0,05",< 5
